zpid,streetAddress,zipcode,price,bathrooms,bedrooms,livingArea,homeType,lotAreaValue
47848891,2948 SE Treasure Island Rd,34952,305000.0,2.0,3.0,1272.0,SINGLE_FAMILY,9881.0
47850118,1486 SE Grapeland Ave,34952,360000.0,2.0,3.0,1443.0,SINGLE_FAMILY,10000.0
47851399,1951 SE Westmoreland Blvd,34952,415000.0,2.0,3.0,1784.0,SINGLE_FAMILY,0.5509641873278237
47852923,3225 Columbrina Cir,34952,299900.0,2.0,3.0,1728.0,MANUFACTURED,4890.0
66208504,2412 SE Alfonso Ave,34952,329500.0,2.0,4.0,2236.0,SINGLE_FAMILY,10000.0
81388503,2849 SE Ironton Ave,34952,367000.0,2.0,3.0,1410.0,SINGLE_FAMILY,10000.0
2067235077,8048 Long Dr,34952,192500.0,2.0,2.0,1502.0,MANUFACTURED,6400.0
47850729,2409 SE Delano Rd,34952,375000.0,2.0,3.0,2112.0,SINGLE_FAMILY,0.4300045913682277
54859037,7841 Meadowlark Ln,34952,170000.0,2.0,3.0,1475.0,MANUFACTURED,6693.0
103519614,2250 SE Genoa St,34952,310000.0,2.0,2.0,1239.0,SINGLE_FAMILY,10000.0
2057133944,2510 SE Anchorage Cove F 1,34952,237000.0,2.0,2.0,1018.0,CONDO,1000.0
47837378,1515 SE Mariana Rd,34952,290000.0,2.0,3.0,1471.0,SINGLE_FAMILY,0.28999081726354453
47851345,2837 SE Pine Valley St,34952,410000.0,2.0,3.0,2094.0,SINGLE_FAMILY,0.3199954086317723
61096115,440 Natalie Dr,34952,161000.0,2.0,2.0,972.0,MANUFACTURED,1952.0
103545034,2219 SE Lucaya St,34952,91000.0,,,,SINGLE_FAMILY,10000.0
47843125,2210 SE Heathwood Cir,34952,350000.0,2.0,3.0,1183.0,SINGLE_FAMILY,0.26000918273645546
47851862,1911 SE Oxmoor Ter,34952,299000.0,2.0,3.0,1320.0,SINGLE_FAMILY,10000.0
47853156,3327 Columbrina Cir,34952,234900.0,2.0,2.0,1119.0,MANUFACTURED,4787.0
,,,,,,,,
54859114,3804 Sandlace Ct,34952,208000.0,2.0,3.0,2003.0,MANUFACTURED,6209.0
66217099,8048 Long Drive Dr,34952,263500.0,2.0,2.0,1502.0,MANUFACTURED,6534.0
81403453,2155 SE Casselberry Dr,34952,2200.0,2.5,3.0,1582.0,SINGLE_FAMILY,2614.0
47837652,2526 SE Victory Ave,34952,460000.0,2.0,3.0,1716.0,SINGLE_FAMILY,10000.0
47852191,1752 SE Burgundy Ln,34952,290000.0,2.0,3.0,1176.0,SINGLE_FAMILY,0.0
47853802,1706 Pondberry Ln,34952,434000.0,3.0,4.0,2093.0,SINGLE_FAMILY,8472.0
62004586,2908 Nine Iron Dr,34952,170000.0,2.0,2.0,1596.0,SINGLE_FAMILY,2321.0
2085800372,134 W Caribbean,34952,109000.0,2.0,2.0,1450.0,MANUFACTURED,6534.0
66211017,2862 SE Bakersfield St,34952,360000.0,2.0,4.0,2310.0,SINGLE_FAMILY,0.4476584022038568
47838050,2573 SE Mariposa Ave,34952,236400.0,2.0,3.0,1263.0,SINGLE_FAMILY,10000.0
47843557,2474 SE Rock Springs Dr,34952,379000.0,2.0,3.0,1358.0,SINGLE_FAMILY,0.3
47847363,1565 SE South Balcourt Ct,34952,354000.0,2.0,3.0,1204.0,SINGLE_FAMILY,9696.0
47850303,2318 SE Pinero Rd,34952,470000.0,2.0,3.0,2106.0,SINGLE_FAMILY,0.28999081726354453
47850554,1298 SE Rickenbacker Ter,34952,85000.0,2.0,2.0,1176.0,SINGLE_FAMILY,0.3099862258953168
47851500,2595 SE Gowin Dr,34952,435000.0,2.0,3.0,2263.0,SINGLE_FAMILY,0.3399908172635445
47853195,8471 Schefflera Ct,34952,225000.0,2.0,2.0,1248.0,MANUFACTURED,5500.0
47853668,3729 Doral Ct,34952,220000.0,2.0,3.0,1485.0,MANUFACTURED,6277.0
47862244,4208 SE Home Way,34952,325000.0,2.0,2.0,1264.0,SINGLE_FAMILY,2343.0
47862246,4212 SE Home Way,34952,320000.0,2.0,2.0,1444.0,SINGLE_FAMILY,2343.0
